Ticker:,The earliest date of MD&A,The latest date of MD&A,Number of MD&A,The earliest date of price,The latest date of price,Average daily trading volume in USD,Average daily trading volume in USD for 180 days starting 2 years ago
AAPL,2015-04-28,2015-04-28,1,2005-07-15,2020-07-10,46570800.772,13903827.912
FB,2012-07-31,2019-10-30,3,2012-05-18,2020-07-10,26730677.12,14760665.961
AMZN,2008-04-24,2014-10-23,9,2005-07-15,2020-07-10,17351890.328,2694010.754
MSFT,2008-01-24,2019-04-24,34,2005-07-15,2020-07-10,16587354.004,11491788.782
BAC,2008-05-08,2019-10-28,16,2005-07-15,2020-07-10,15531939.431,3849532.018
TSLA,2011-11-14,2019-04-29,11,2010-06-29,2020-07-10,14306983.527,352635.969
C,2008-05-02,2019-11-01,36,2005-07-15,2020-07-10,11879922.86,4976154.236
JPM,2008-05-12,2019-11-04,37,2005-07-15,2020-07-10,10011308.827,2458524.29
NFLX,2009-05-07,2012-08-01,4,2005-07-15,2020-07-10,9200029.004,344242.613
INTC,2013-04-29,2017-10-26,15,2005-07-15,2020-07-10,8865220.737,9101682.835
ROKU,2017-11-09,2019-05-10,4,2017-09-28,2020-07-10,8719301.112,2703718.228
GE,2008-07-25,2019-10-30,25,2005-07-15,2020-07-10,8603675.459,4546740.387
GS,2012-05-09,2019-08-05,23,2005-07-15,2020-07-10,8173784.329,3653065.353
CSCO,2008-02-19,2019-11-19,36,2005-07-15,2020-07-10,7951268.509,7562382.576
UBER,2019-06-03,2019-11-05,3,2019-05-10,2020-07-10,7694863.588,6185544.798
BYND,2019-06-12,2019-11-12,3,2019-05-02,2020-07-10,7379141.277,6720471.165
NVDA,2008-08-21,2019-11-14,26,2005-07-15,2020-07-10,7200776.326,1478514.343
MU,2011-07-12,2019-06-26,26,2009-12-30,2020-07-10,7117100.089,3007719.891
TWTR,2014-05-08,2019-04-30,16,2013-11-07,2020-07-10,6525938.764,9632518.402
PFE,2009-05-08,2019-11-07,25,2005-07-15,2020-07-10,6381725.402,3758703.816
BA,2008-04-23,2019-10-23,36,2005-07-15,2020-07-10,6332618.149,1643938.296
ORCL,2008-04-01,2019-12-13,36,2005-07-15,2020-07-10,6168917.439,4656677.982
JNJ,2009-08-04,2019-10-28,26,2005-07-15,2020-07-10,6037438.423,3208852.39
QCOM,2008-01-23,2019-07-31,36,2005-07-15,2020-07-10,5847637.838,4121408.84
T,2018-11-02,2018-11-02,1,2005-07-15,2020-07-10,5792648.97,1481028.834
WMT,2011-12-08,2019-12-04,26,2005-07-15,2020-07-10,5736511.476,4229237.501
PG,2008-05-01,2015-01-27,12,2005-07-15,2020-07-10,5428904.351,2823957.376
IBM,2008-04-29,2019-10-29,35,2005-07-15,2020-07-10,5381265.995,2928391.917
DIS,2019-05-08,2019-08-06,2,2005-07-15,2020-07-10,5306668.697,1835859.456
AVGO,2018-06-14,2019-09-13,5,2016-02-02,2020-07-10,5250263.775,3329629.627
PYPL,2015-07-29,2019-10-24,14,2015-07-06,2020-07-10,5131595.2,3530344.676
CMCSA,2008-05-01,2019-10-24,36,2005-07-15,2020-07-10,4807086.325,1987170.99
SLB,2011-07-27,2019-04-24,14,2005-07-15,2020-07-10,4671537.188,3942551.175
SQ,2016-05-06,2019-11-06,12,2015-11-19,2020-07-10,4638605.903,350798.104
HD,2008-06-04,2019-11-25,12,2005-07-15,2020-07-10,4605934.9,2287214.653
VZ,2019-04-26,2019-10-30,3,2005-07-15,2020-07-10,4567727.234,1604224.646
FCX,2008-05-12,2019-11-06,36,2005-07-15,2020-07-10,4521669.375,979132.767
MA,2008-04-29,2019-10-29,26,2006-05-25,2020-07-10,4491541.416,1999117.754
MRK,2010-05-07,2019-11-05,26,2005-07-15,2020-07-10,4455817.501,1577047.244
KO,2008-04-25,2019-10-24,37,2005-07-15,2020-07-10,4236231.748,1514545.918
DD,2018-05-04,2019-10-31,6,2017-09-01,2020-07-10,4170304.361,4884870.26
ABBV,2013-05-08,2019-11-06,21,2012-12-10,2020-07-10,4164205.681,1778295.957
EBAY,2010-10-20,2011-07-21,3,2005-07-15,2020-07-10,4099871.824,5851251.135
UNH,2018-08-07,2018-08-07,1,2005-07-15,2020-07-10,4022835.597,2631908.913
CAT,2008-05-02,2019-10-31,35,2005-07-15,2020-07-10,4003599.328,1610005.767
MS,2016-11-02,2019-11-05,10,2005-07-15,2020-07-10,3998765.746,1792982.914
MCD,2008-05-06,2019-11-04,36,2005-07-15,2020-07-10,3983962.993,1415073.476
AMGN,2011-05-10,2019-10-29,23,2005-07-15,2020-07-10,3971301.743,5193573.454
AIG,2008-05-08,2019-11-01,36,2005-07-15,2020-07-10,3965560.867,3405583.766
COP,2008-04-30,2019-10-31,35,2005-07-15,2020-07-10,3943776.56,3280787.413
HAL,2012-07-27,2019-10-25,23,2005-07-15,2020-07-10,3907048.431,3629441.592
SNAP,2017-08-10,2019-04-23,5,2017-03-02,2020-07-10,3660930.742,4524165.785
F,2011-05-10,2019-10-23,27,2005-07-15,2020-07-10,3650295.638,909806.777
HPQ,2008-03-10,2019-08-29,36,2005-07-15,2020-07-10,3578554.366,2493899.812
CVS,2008-05-01,2019-11-06,36,2005-07-15,2020-07-10,3394661.824,972918.72
SBUX,2008-02-07,2019-07-30,28,2005-07-15,2020-07-10,3306490.39,1253199.656
AXP,2008-05-02,2019-10-21,9,2005-07-15,2020-07-10,3210052.898,2109158.766
BMY,2009-04-28,2019-10-31,33,2005-07-15,2020-07-10,3161261.548,915408.519
LYFT,2019-05-14,2019-08-13,2,2019-03-29,2020-07-10,3150053.114,3340823.976
WBA,2016-01-07,2019-06-27,8,2014-12-31,2020-07-10,3124626.212,2848643.205
CRM,2008-05-23,2019-12-04,31,2005-07-15,2020-07-10,3090306.222,450497.384
PM,2012-05-04,2019-10-24,24,2008-03-17,2020-07-10,3025761.766,2741547.497
LOW,2008-09-03,2019-12-03,25,2005-07-15,2020-07-10,3022656.172,1843104.642
TGT,2008-06-02,2019-11-27,36,2005-07-15,2020-07-10,2978823.745,1518485.074
NKE,2013-10-07,2019-10-04,19,2005-07-15,2020-07-10,2937775.993,1230903.193
AMAT,2012-02-27,2019-08-22,24,2005-07-15,2020-07-10,2914932.791,3132303.566
UNP,2008-04-24,2019-10-17,36,2005-07-15,2020-07-10,2878054.714,694034.488
ABT,2014-05-07,2019-10-31,18,2005-07-15,2020-07-10,2869074.212,1348696.519
OXY,2008-08-05,2019-11-04,19,2005-07-15,2020-07-10,2817563.463,1624893.169
ADBE,2008-04-04,2019-09-26,29,2005-07-15,2020-07-10,2815571.368,1769004.81
BIIB,2012-05-01,2019-10-22,24,2005-07-15,2020-07-10,2812082.704,1363221.01
MDT,2015-02-27,2019-08-30,14,2005-07-15,2020-07-10,2778693.963,1504396.4
VLO,2008-05-09,2019-11-07,17,2005-07-15,2020-07-10,2760308.622,5209073.202
MO,2008-08-07,2019-10-31,23,2005-07-15,2020-07-10,2714433.992,2197669.353
MMM,2008-05-02,2019-10-25,36,2005-07-15,2020-07-10,2668546.459,1381980.711
DAL,2009-04-23,2019-10-10,33,2007-04-26,2020-07-10,2646949.567,618190.281
USB,2008-05-12,2019-11-07,32,2005-07-15,2020-07-10,2577556.658,755531.31
RIG,2009-05-06,2019-04-30,14,2005-07-15,2020-07-10,2557152.074,2044202.015
EOG,2010-08-05,2019-11-06,25,2005-07-15,2020-07-10,2554448.027,1829344.507
NEM,2010-04-27,2019-11-05,16,2005-07-15,2020-07-10,2541652.976,2446053.201
LVS,2009-11-06,2019-10-25,25,2005-07-15,2020-07-10,2507181.374,375578.484
LLY,2009-10-30,2019-10-25,27,2005-07-15,2020-07-10,2489705.361,1203364.451
COST,2008-03-28,2019-12-20,36,2005-07-15,2020-07-10,2479580.439,925755.823
TWLO,2016-08-09,2019-10-31,11,2016-06-23,2020-07-10,2479545.513,2060891.26
FSLR,2008-05-01,2019-10-24,33,2006-11-17,2020-07-10,2413876.747,1154104.097
DE,2010-03-01,2019-08-29,12,2005-07-15,2020-07-10,2299637.043,890514.689
UPS,2009-05-07,2019-10-29,33,2005-07-15,2020-07-10,2296691.873,1130222.835
HON,2008-10-17,2019-10-17,4,2005-07-15,2020-07-10,2282173.606,934919.857
FDX,2008-03-20,2019-03-19,34,2005-07-15,2020-07-10,2272688.295,1317653.236
NVR,2015-05-01,2017-07-28,8,2005-07-15,2020-07-10,2259402.087,485136.829
KHC,2015-11-06,2019-10-31,15,2015-07-06,2020-07-10,2249157.668,2126267.547
PINS,2019-05-16,2019-10-31,3,2019-04-18,2020-07-10,2244831.212,1912021.841
APA,2008-05-12,2018-11-01,7,2005-07-15,2020-07-10,2227833.149,1748809.355
DVN,2008-05-08,2019-11-06,29,2005-07-15,2020-07-10,2202959.974,1761303.727
KMI,2011-05-06,2019-10-18,27,2011-02-11,2020-07-10,2193014.568,391107.59
MPC,2011-08-09,2019-11-04,26,2011-06-23,2020-07-10,2155436.219,1085210.015
MET,2008-05-09,2019-11-04,33,2005-07-15,2020-07-10,2155228.16,691806.737
ANTM,2009-04-22,2011-10-26,7,2005-07-15,2020-07-10,2153195.365,1587600.536
COF,2008-05-08,2019-10-31,33,2005-07-15,2020-07-10,2094472.931,1449203.039
CMG,2009-10-27,2019-10-22,16,2006-01-26,2020-07-10,2045941.845,317099.31
DOW,2019-05-03,2019-10-25,3,2019-03-20,2020-07-10,2043897.857,2086271.66
MRO,2009-11-06,2019-11-07,26,2005-07-15,2020-07-10,2000704.46,1379033.467
EA,2008-02-04,2008-11-06,3,2005-07-15,2020-07-10,1952895.868,1866076.403
HES,2008-05-09,2019-05-01,19,2006-05-09,2020-07-10,1936100.778,1380156.409
NOV,2008-05-09,2019-04-26,10,2005-07-15,2020-07-10,1935485.591,1104629.337
LMT,2008-04-24,2019-10-24,34,2005-07-15,2020-07-10,1904184.513,793418.639
ATVI,2008-02-11,2019-11-07,32,2005-07-15,2020-07-10,1885795.569,556604.755
PSX,2012-05-16,2019-10-25,24,2012-04-12,2020-07-10,1883296.9,1329287.833
DHR,2008-04-16,2019-10-23,36,2005-07-15,2020-07-10,1877311.571,672008.908
BK,2008-05-09,2014-11-07,17,2005-07-15,2020-07-10,1876694.049,618555.691
TJX,2008-05-23,2019-08-30,13,2005-07-15,2020-07-10,1858137.41,509584.366
ISRG,2011-10-19,2019-10-18,3,2005-07-15,2020-07-10,1841124.941,1027645.741
MGM,2008-05-09,2017-11-09,24,2005-07-15,2020-07-10,1837999.564,652659.606
NOW,2012-08-10,2019-10-24,22,2012-06-29,2020-07-10,1832089.05,304342.383
TMO,2015-05-01,2019-11-01,13,2005-07-15,2020-07-10,1824816.477,228304.937
GLW,2008-10-30,2019-05-03,21,2005-07-15,2020-07-10,1822437.191,1720753.247
NEE,2011-11-04,2019-10-23,25,2010-06-24,2020-07-10,1799193.106,690221.191
ACN,2009-12-18,2019-12-19,31,2005-07-15,2020-07-10,1796342.932,519075.858
LYB,2011-11-01,2019-11-01,24,2010-10-14,2020-07-10,1776330.294,860900.161
CTSH,2008-11-07,2019-10-31,23,2005-07-15,2020-07-10,1743316.497,614890.743
BBY,2008-01-10,2019-12-06,12,2005-07-15,2020-07-10,1740791.304,1559500.608
MYL,2015-05-07,2019-11-05,15,2008-12-29,2020-07-10,1732644.522,1043183.88
CI,2019-05-02,2019-05-02,1,2005-07-18,2020-07-10,1720012.126,1110261.14
BSX,2008-05-08,2013-11-05,5,2005-07-15,2020-07-10,1713184.893,1518541.734
CL,2011-10-27,2019-11-01,25,2005-07-15,2020-07-10,1708334.281,661817.963
HLT,2014-05-09,2019-07-24,17,2013-12-12,2020-07-10,1699680.278,794430.767
BAX,2008-05-02,2013-10-30,13,2005-07-15,2020-07-10,1695470.474,617085.897
KR,2010-06-28,2019-12-17,22,2005-07-15,2020-07-10,1688694.113,463518.743
PANW,2012-12-10,2016-11-21,9,2012-07-20,2020-07-10,1687510.478,419955.454
DOCU,2018-06-08,2019-12-06,6,2018-04-27,2020-07-10,1661694.69,906502.945
AMT,2009-08-06,2019-10-31,16,2005-07-15,2020-07-10,1655579.416,638609.644
PXD,2012-08-06,2018-11-08,20,2005-07-15,2020-07-10,1648631.117,800683.632
LRCX,2008-03-31,2015-02-03,7,2005-07-15,2020-07-10,1640668.589,837960.074
EXC,2008-04-24,2017-11-02,26,2005-07-15,2020-07-10,1630832.965,786075.624
SPG,2008-05-09,2019-11-06,39,2005-07-15,2020-07-10,1629462.309,459746.593
TTD,2016-11-10,2019-05-09,8,2016-09-21,2020-07-10,1618416.371,260899.356
HPE,2016-03-10,2019-08-30,12,2015-10-19,2020-07-10,1606082.054,1595723.179
CCL,2015-07-01,2019-09-26,15,2005-07-15,2020-07-10,1591275.018,981138.174
LUV,2008-07-25,2019-11-08,29,2005-07-15,2020-07-10,1585131.57,501171.068
CPRI,2013-08-08,2019-11-07,20,2011-12-15,2020-07-10,1584209.174,1173619.929
MCK,2008-02-01,2019-10-30,35,2005-07-15,2020-07-10,1577943.099,588380.066
SYF,2014-09-05,2019-10-24,17,2014-07-31,2020-07-10,1577239.314,388337.479
STT,2008-05-09,2019-10-25,36,2005-07-15,2020-07-10,1567762.066,604472.514
MSI,2008-05-07,2019-10-30,38,2005-07-15,2020-07-10,1561926.266,3118759.477
ICE,2013-08-07,2019-10-31,5,2005-11-16,2020-07-10,1556152.355,622165.642
HUM,2008-04-29,2019-11-06,35,2005-07-15,2020-07-10,1545723.389,680729.736
EMR,2012-05-02,2019-08-07,23,2005-07-15,2020-07-10,1536820.432,637252.05
NSC,2011-04-29,2019-10-23,27,2005-07-15,2020-07-10,1533926.201,632778.785
CME,2010-05-07,2010-05-07,1,2005-07-15,2020-07-10,1533704.842,1536981.137
PRU,2008-05-01,2019-11-05,37,2005-07-15,2020-07-10,1518681.433,839146.702
KSS,2011-09-13,2019-12-06,24,2005-07-15,2020-07-10,1514586.49,1158455.842
CMI,2010-04-29,2019-10-29,30,2005-07-15,2020-07-10,1506875.459,460837.125
MRVL,2008-06-06,2019-12-04,30,2005-07-15,2020-07-10,1497808.793,1957065.405
NTAP,2009-03-02,2019-02-19,25,2005-07-15,2020-07-10,1485009.013,1078681.348
ADP,2012-11-02,2019-11-04,22,2008-10-21,2020-07-10,1469318.179,1224683.335
LULU,2012-06-07,2019-12-11,23,2007-07-27,2020-07-10,1455436.848,401404.915
TRV,2008-04-24,2019-10-22,31,2005-07-15,2020-07-10,1454270.675,802438.547
SWN,2009-04-27,2019-10-24,29,2005-07-15,2020-07-10,1450276.519,1203215.506
DUK,2008-05-09,2019-11-08,34,2005-07-15,2020-07-10,1445169.555,447713.762
FOXA,2019-05-10,2019-05-10,1,2019-03-13,2020-07-10,1441706.572,1647912.685
SO,2008-05-07,2019-10-29,36,2005-07-15,2020-07-10,1390039.435,354759.282
GD,2008-05-06,2019-10-23,35,2005-07-15,2020-07-10,1388532.115,658209.747
EXPE,2008-05-01,2019-11-06,31,2005-07-20,2020-07-10,1370027.174,359477.297
VMW,2008-05-09,2019-12-06,25,2007-08-14,2020-07-10,1369426.971,2301182.843
ADSK,2011-12-06,2011-12-06,1,2005-07-15,2020-07-10,1365972.928,1047621.954
INTU,2008-02-29,2019-11-21,36,2005-07-15,2020-07-10,1358414.094,688872.716
WMB,2008-05-01,2019-10-31,36,2005-07-15,2020-07-10,1345903.853,471203.218
NOC,2011-10-26,2019-10-24,25,2005-07-15,2020-07-10,1341228.725,581173.27
TMUS,2008-05-09,2019-10-28,36,2007-04-19,2020-07-10,1338342.165,450096.648
AZO,2008-06-12,2019-12-20,23,2005-07-15,2020-07-10,1337150.597,747519.727
CTVA,2019-05-31,2019-05-31,1,2019-05-24,2020-07-10,1322236.283,1448705.695
GIS,2008-03-19,2018-12-19,30,2005-07-15,2020-07-10,1304619.852,463563.069
KMB,2010-05-07,2019-10-22,31,2005-07-15,2020-07-10,1304117.418,541185.036
CFG,2014-11-14,2019-11-06,17,2014-09-24,2020-07-10,1297917.671,639937.315
VRTX,2008-05-12,2019-10-31,36,2005-07-15,2020-07-10,1287709.042,378875.42
STX,2010-02-01,2019-02-04,14,2008-09-16,2020-07-10,1280684.312,425823.937
CLF,2008-07-31,2019-10-23,30,2005-07-18,2020-07-10,1279142.187,377783.302
ALL,2008-11-05,2019-10-29,33,2005-07-15,2020-07-10,1271435.812,1123721.82
PRGO,2013-11-04,2019-11-06,20,2013-06-06,2020-07-10,1267377.096,1441332.767
SIRI,2008-08-11,2014-10-28,16,2005-07-15,2020-07-10,1266453.975,2503548.865
CTXS,2009-11-04,2019-11-01,26,2005-07-15,2020-07-10,1264113.163,504928.972
ADM,2013-08-07,2019-10-31,17,2005-07-15,2020-07-10,1261408.317,576331.811
TPR,2015-11-04,2019-11-07,13,2005-07-15,2020-07-10,1258405.946,575145.764
RF,2012-05-03,2019-11-06,22,2005-07-15,2020-07-10,1257007.043,232344.398
GPRO,2014-08-11,2019-11-07,17,2014-06-26,2020-07-10,1251219.588,4908560.29
ITW,2012-10-26,2019-10-28,22,2005-07-15,2020-07-10,1250602.28,639624.694
AKAM,2008-05-12,2019-11-08,36,2005-07-15,2020-07-10,1250345.539,437344.703
DLTR,2013-05-23,2019-11-26,21,2005-07-15,2020-07-10,1249439.128,247089.215
NUE,2010-11-10,2019-11-06,26,2005-07-15,2020-07-10,1241103.12,943202.914
CB,2009-08-07,2015-04-29,12,2005-07-15,2020-07-10,1239262.844,511379.471
DXC,2017-08-09,2019-11-12,8,2017-03-16,2020-07-10,1233509.639,1286084.319
LEN,2009-07-10,2019-10-08,25,2005-07-15,2020-07-10,1232195.193,1195437.891
FITB,2008-05-09,2019-11-08,36,2005-07-15,2020-07-10,1223467.962,550591.776
BDX,2009-05-06,2019-08-06,30,2005-07-15,2020-07-10,1222172.889,377590.716
D,2008-05-01,2019-05-03,31,2005-07-15,2020-07-10,1217780.514,626913.84
SPLK,2012-06-12,2018-12-07,21,2012-04-19,2020-07-10,1216584.319,298908.591
SEB,2011-11-08,2019-10-30,14,2005-07-15,2020-07-10,1213054.889,299012.146
SHW,2008-04-24,2019-10-22,35,2005-07-15,2020-07-10,1210680.749,501107.93
AA,2018-08-02,2019-05-09,3,2016-10-18,2020-07-10,1210122.022,1326981.609
HIG,2008-04-28,2019-11-04,37,2005-07-15,2020-07-10,1198902.35,708165.84
GPS,2008-06-10,2008-12-09,3,2005-07-15,2020-07-10,1196087.791,602969.358
ELAN,2018-11-08,2019-08-13,3,2018-09-20,2020-07-10,1195015.236,1375445.578
DFS,2011-07-01,2011-07-01,1,2007-06-14,2020-07-10,1194071.406,809520.592
EL,2008-02-01,2019-10-31,34,2005-07-15,2020-07-10,1179518.5,398683.1
AFL,2008-05-08,2019-10-25,34,2005-07-15,2020-07-10,1172618.969,476479.886
RCL,2008-04-24,2019-10-30,31,2005-07-15,2020-07-10,1170224.379,509014.278
W,2015-11-12,2019-10-31,13,2014-10-02,2020-07-10,1155910.995,240069.711
APTV,2012-04-26,2019-10-30,24,2011-11-17,2020-07-10,1152247.421,511591.003
DHI,2008-02-07,2019-07-30,35,2005-07-15,2020-07-10,1139557.083,764799.082
FFIV,2008-02-08,2012-08-07,13,2005-07-15,2020-07-10,1118755.006,564704.961
NBL,2010-04-29,2019-11-07,26,2005-07-15,2020-07-10,1117810.038,555141.809
STZ,2008-07-10,2014-01-09,14,2005-07-15,2020-07-10,1105537.852,297419.244
KEY,2008-05-06,2019-10-31,36,2005-07-15,2020-07-10,1105291.578,300062.566
BBBY,2008-01-10,2019-10-15,33,2005-07-15,2020-07-10,1103590.712,915627.77
SPGI,2008-04-30,2019-10-29,35,2005-07-15,2020-07-10,1101919.009,485582.296
ROST,2012-12-05,2019-09-10,22,2005-07-15,2020-07-10,1100483.057,323816.28
FSLY,2019-08-09,2019-11-08,2,2019-05-17,2020-07-10,1098080.169,289353.005
ANET,2014-08-07,2019-10-31,17,2014-06-06,2020-07-10,1095439.866,349672.559
APD,2008-01-25,2019-07-25,30,2005-07-15,2020-07-10,1091943.047,419702.62
FTV,2016-08-02,2019-10-24,11,2016-06-13,2020-07-10,1078738.933,797033.92
CAH,2011-02-08,2019-11-07,24,2005-07-15,2020-07-10,1075084.558,772330.904
RRC,2008-04-23,2017-10-24,14,2005-07-15,2020-07-10,1073969.02,304136.337
A,2008-03-07,2019-08-30,35,2005-07-15,2020-07-10,1062200.007,956607.163
NE,2009-08-07,2019-10-31,26,2005-07-18,2020-07-10,1056604.276,1221609.822
TIF,2010-12-01,2019-12-05,23,2005-07-15,2020-07-10,1056560.891,404033.746
FEYE,2013-11-14,2019-11-01,19,2013-09-20,2020-07-10,1054513.714,1460592.391
COG,2009-04-30,2019-10-25,26,2005-07-15,2020-07-10,1052184.534,212757.949
SYY,2008-02-05,2019-11-04,25,2005-07-15,2020-07-10,1051063.951,487601.475
PH,2012-11-02,2019-11-06,22,2005-07-15,2020-07-10,1035471.899,342931.144
AEP,2008-05-01,2019-10-24,23,2005-07-15,2020-07-10,1033065.117,304928.222
VFC,2008-05-07,2019-10-31,31,2005-07-15,2020-07-10,1027820.025,241681.901
NTNX,2016-12-07,2019-12-05,10,2016-09-30,2020-07-10,1016847.379,616068.264
MDB,2017-12-14,2017-12-14,1,2017-10-19,2020-07-10,1013032.47,235968.352
GRUB,2014-05-15,2019-05-10,16,2014-04-04,2020-07-10,1012404.252,302265.005
TSN,2009-02-02,2009-08-03,3,2005-07-15,2020-07-10,1010161.839,226915.62
FISV,2008-05-09,2019-11-07,20,2005-07-15,2020-07-10,1008116.072,580292.797
PHM,2008-05-07,2019-10-22,27,2005-07-15,2020-07-10,1006195.154,1046644.711
DBX,2018-05-11,2019-11-08,6,2018-03-23,2020-07-10,1005648.183,1350064.071
PPG,2008-07-28,2019-10-18,26,2005-07-15,2020-07-10,1002901.472,355316.563
FIS,2008-05-08,2019-11-05,30,2005-07-15,2020-07-10,988402.706,210250.929
AON,2009-05-08,2019-10-25,31,2005-07-15,2020-07-10,985563.953,471531.798
WHR,2008-04-24,2014-10-28,20,2005-07-15,2020-07-10,966806.982,544632.163
NBR,2008-10-31,2019-11-01,22,2005-07-15,2020-07-10,962994.555,1558180.785
MCO,2008-05-08,2019-08-01,6,2005-07-15,2020-07-10,956345.903,536990.777
ABC,2009-02-05,2019-08-01,32,2005-07-15,2020-07-10,946867.147,515910.435
KLAC,2011-01-27,2011-04-28,2,2005-07-15,2020-07-10,945166.051,1083841.689
EVRG,2018-08-08,2019-11-06,5,2018-06-05,2020-07-10,944509.761,807469.899
JWN,2008-06-10,2019-12-04,35,2005-07-15,2020-07-10,929880.109,474775.316
UAA,2008-05-07,2019-11-08,31,2005-11-18,2020-07-10,925514.013,377925.106
RL,2008-08-07,2019-11-07,30,2005-07-15,2020-07-10,924173.635,293821.931
ATUS,2017-08-03,2019-11-05,8,2017-06-22,2020-07-10,921215.854,373461.799
WM,2019-07-25,2019-10-23,2,2005-07-15,2020-07-10,913907.332,426231.482
MMC,2008-05-08,2019-10-30,26,2005-07-15,2020-07-10,913535.172,498954.251
K,2008-05-07,2019-10-30,36,2005-07-15,2020-07-10,912333.243,335630.949
FE,2010-08-03,2019-11-04,29,2005-07-15,2020-07-10,909908.608,292825.66
FLR,2008-05-12,2019-10-31,35,2005-07-15,2020-07-10,905547.817,486547.68
